activity_nr,standard,issuance_date,initial_penalty,sic_code,naics_code,sector
306984949,19100037 B02,2009-01-09,,,,Unknown
306985086,19100037 B02,2009-01-21,,,,Unknown
306985243,19100037 A03,2009-02-26,,,,Unknown
306985243,19100037 B01,2009-02-26,,,,Unknown
306985250,19100037 B06,2009-02-20,,,,Unknown
306985292,19100037 A03,2009-02-20,,,,Unknown
306985508,19100037 A03,2009-03-27,,,,Unknown
306985722,19100037 A03,2009-05-13,,,,Unknown
306985789,19100037 A03,2009-05-22,,,,Unknown
306985904,19100037 A03,2009-07-10,,,,Unknown
306985904,19100037 B07,2009-07-10,,,,Unknown
306985953,19100037 B05,2009-07-08,,,,Unknown
306985961,19100037 B02,2009-07-15,,,,Unknown
306986084,19100037 B02,2009-08-14,,,,Unknown
306986233,19100037 B02,2009-09-10,,,,Unknown
306986233,19100037 B01,2009-09-10,,,,Unknown
306986233,19100037 A03,2009-09-10,,,,Unknown
306986340,19100037 B02,2009-11-13,,,,Unknown
306986571,19100037 A03,2009-12-18,,,,Unknown
306986605,19100037 A03,2010-01-14,,,,Unknown
306986803,19100037 B06,2010-02-19,,,,Unknown
306986845,19100037 B07,2010-03-10,,,,Unknown
306986985,19100037 B02,2010-06-04,,,,Unknown
306986985,19100037 B04,2010-06-04,,,,Unknown
306987074,19100037 B01,2010-06-17,,,,Unknown
306987173,19100037 B02,2010-05-28,,,,Unknown
306987173,19100037 A03,2010-05-28,,,,Unknown
306987256,19100037 B07,2010-05-14,,,,Unknown
306987298,19100037 B07,2010-06-17,,,,Unknown
306987298,19100037 A03,2010-06-17,,,,Unknown
306987363,19100037 A03,2010-06-25,,,,Unknown
306987587,19100037 B07,2010-09-24,,,,Unknown
306987892,19100037 B06,2010-10-15,,,,Unknown
306987942,19100037 A03,2010-10-20,,,,Unknown
306987967,19100037 B02,2010-10-20,,,,Unknown
306987983,19100037 B02,2010-12-13,,,,Unknown
306988023,19100037 A03,2010-12-08,,,,Unknown
306988056,19100037 A04,2010-11-24,,,,Unknown
306988056,19100037 B02,2010-11-24,,,,Unknown
306988056,19100037 A03,2010-11-24,,,,Unknown
306988122,19100037 B02,2010-12-17,,,,Unknown
306988353,19100037 A03,2011-02-04,,,,Unknown
306988445,19100037 A03,2011-03-25,,,,Unknown
306988502,19100037 B02,2011-04-01,,,,Unknown
306989104,19100037 A03,2003-10-14,600.0,,,Unknown
306989112,19100037 A03,2003-10-17,600.0,,,Unknown
306989112,19100037 B06,2003-10-17,600.0,,,Unknown
306989203,19100037 B06,2003-10-23,600.0,,,Unknown
